 16285407-2447442  1, 2, 3  Y  6049076646002793856 
 16285604-2331070        3  Y  6050905271281078400 
 16285694-2431096  1, 2, 3  Y  6049101866050768384 
 16285786-2440549        3  N                      
 16290321-2427488     2, 3  Y  6049102621963483136 
 16290392-2451414     1, 2  Y  6046072986395944064 
 16290822-2415467        3  Y  6050609159051705088 
 16292339-2413569        3  N  6050611117558761856 
 16293397-2455303        2  Y  6046069030727803136 
 16293441-2452292        2  N  6046072196121943680 
 16293509-2436104        3  N  6049085888772419456 
 16294427-2441218        3  N  6046081778190577920 
 16294831-2331032        3  Y  6050722614909898880 
 16295459-2458459        3  Y  6046055943965657856 
 16300220-2420075        3  N  6050594556164861952 
 16301976-2402563        3  Y  6050619806276686976 
 16302004-2331082        3  Y  6050720553325583872 
 16302339-2454161        3  Y  6046062364938324608 
 16302673-2359087        3  Y  6050644102907664640 
 16303390-2428062        3  Y  6050589058606703744 
 16304147-2413207        3  N  6050602012228282496 
 16305349-2424538        3  Y  6050595449518226944 
 16310240-2408431        3  Y  6050626201483958400 
 16310516-2404401        3  Y  6050627782031927296 
 16311574-2434022        3  N  6047587769819856640 
 16312923-2404311        3  Y  6050628121333791232 
 16313087-2424399        3  N  6047593473536598016 
 16313124-2426281        3  N  6047590415519880192 
 16313346-2427372        3  Y  6047590243721186688 
 16313383-2404466        3  N  6050628434866951040 
 16313408-2400596        3  N                      
 16313429-2403253        3  Y  6050628533650652544 
 16313565-2401294        3  N                      
 16313679-2404200        3  N                      
 16314375-2455245        3  N  6047513617208868864 
 16314457-2402129        3  Y  6050634482180904704 
 16314538-2443071        3  Y  6047564611356188288 
 16314581-2439089        3  Y  6047573849829430656 
 16314892-2454292        3  N                      
 16315211-2456156        3  Y  6047512792574297984 
 16315244-2455360        3  N                      
 16315343-2455050        3  N                      
 16315441-2503493        3  Y  6047508570622891392 
 16315473-2503238        3  N  6047508639342384000 
 16315932-2454405        3  Y  6047514411778430976 
 16320099-2456419        3  N                      
 16320552-2502362        3  Y  6047507986507354880 
 16321179-2440213        3  N  6047570826172040960 
 16322105-2430358        3  Y  6047600100669517696 
 16322192-2442147        3  Y  6047569834036585728 
 16322710-2448432        3  N  6047521077567879552 
 16322788-2525017        3  Y  6045798379068345600 
 16330156-2403555        3  N  6047629001506024960 
 16334622-2427531        3  N  6047557086573576960 
 16335560-2442049        3  Y  6047533103476186496 
 16351946-2415406        3  N  6047652263051253632 
 16360395-2423445        3  N  6047640786899132288 
 16374423-2428055        3  N  6047437068010753792 
 16375994-2421468        3  N  6047473077016564992 
 16394544-2402039        3  Y  6047849655449492096 
 16395292-2419314        3  N                      
 16442430-2401250        3  N                      
 16442882-2412242        3  N  6047049352732073472 
 16442932-2415555        3  N  6047047462946443520 
 16452666-2403053        3  N  6047145903592052352 
 16453548-2414226        3  N  6047138653687116544 
