Name,RA,Dec,Region,IRAC1,IRAC2,IRAC3,IRAC4,MIPS1,WISE1,WISE2,WISE3,WISE4
Luhman2003_39,56.1752929688,32.1502723694,IC348,,,,,,5.255E-02,5.701E-02,7.461E-02,2.486E-01
Luhman2003_183,56.0320892334,32.0847358704,IC348,4.26E-03,3.08E-03,2.17E-03,1.35E-03,,5.821E-03,3.385E-03,8.987E-02,
DM048,83.982735,9.939374,LOri,,,,,,8.729E-03,7.112E-03,3.76E-03,
Winston2009_1,52.1802406311,31.2925224304,NGC1333,2.092E-01,3.244E-01,4.974E-01,7.116E-01,2.126E+00,7.794E-02,1.502E-01,2.873E-01,1.032E+00
Winston2009_19,52.2895050049,31.4558258057,NGC1333,4.18E-03,3.89E-03,3.6E-03,5.12E-03,6.84E-03,4.271E-03,3.981E-03,7.551E-03,1.898E-02
Winston2009_23,52.3235969543,31.3792037964,NGC1333,3.408E-01,3.365E-01,3.538E-01,3.947E-01,5.006E-01,4.159E-01,4.751E-01,3.985E-01,7.084E-01
Winston2009_31,52.3869361877,31.4535140991,NGC1333,5.553E-03,4.688E-03,3.704E-03,3.313E-03,2.828E-03,5.94E-03,4.826E-03,5.346E-03,1.558E-02
Winston2009_49,52.3534812927,31.4017448425,NGC1333,1.83E-03,1.31E-03,8.46E-04,,,2.1E-03,1.919E-03,3.545E-02,1.712E-01
Luhman2003_233,56.1821289062,32.1799888611,IC348,1.6E-03,1.12E-03,7.51E-04,,,,,,4.118E-02
Luhman2003_234,56.071937561,32.0042304993,IC348,1.48E-03,1.1E-03,7.85E-04,4.1E-04,,1.319E-03,9.281E-04,,
Luhman2003_235,56.0426025391,32.1262435913,IC348,2.26E-03,1.96E-03,1.8E-03,1.41E-03,1.48E-03,2.252E-03,1.919E-03,,1.978E-02
Luhman2003_238,56.1165924072,32.0888023376,IC348,1.39E-03,1.06E-03,7.74E-04,,,,,,
Luhman2007_111,167.16956,-76.60218,ChaI,6.738E-02,4.603E-02,3.053E-02,1.691E-02,2.126E-03,6.826E-02,4.309E-02,8.488E-03,5.54E-03
Luhman2007_110,167.16469,-77.571297,ChaI,,,1.308E-02,1.214E-02,1.512E-02,1.831E-02,1.623E-02,8.694E-03,2.329E-02
Luhman2007_107,167.12196,-77.65551,ChaI,1.873E-03,1.51E-03,1.204E-03,1.057E-03,,,,,
Luhman2003_211,56.0884437561,32.0206832886,IC348,3.25E-03,2.8E-03,2.26E-03,2.18E-03,6.47E-03,2.923E-03,2.774E-03,5.681E-03,2.49E-02
Luhman2003_212,56.1305885315,32.1580848694,IC348,2.54E-03,1.86E-03,1.32E-03,1.25E-03,,2.68E-03,2.132E-03,2.237E-02,
Winston2009_65,52.3350982666,31.3095149994,NGC1333,1.048E-01,1.189E-01,1.161E-01,1.501E-01,4.203E-01,5.794E-02,7.892E-02,1.48E-01,5.061E-01
Winston2009_67,52.2123794556,31.3966464996,NGC1333,1.6E-02,1.24E-02,1.01E-02,6.04E-03,,1.474E-02,1.297E-02,2.287E-03,
Winston2009_72,52.3189659119,31.3506965637,NGC1333,5.46E-03,3.98E-03,3.08E-03,1.82E-03,,5.299E-03,4.077E-03,,6.581E-02
AC3173622,89.5492630005,-35.0137786865,OCT,,,,,,6.028E-02,3.248E-02,5.84E-03,
HD155177,265.536956787,-86.1347351074,OCT,,,,,,2.778E-01,1.526E-01,2.657E-02,6.771E-03
Luhman2003_241,56.1940879822,32.150478363,IC348,1.36E-03,1E-03,6.31E-04,,,4.228E-03,4.609E-03,7.291E-02,1.229E-01
Luhman2003_242,56.0097351074,32.1709709167,IC348,1.5E-03,1.05E-03,7.14E-04,4.04E-04,,1.159E-03,8.271E-04,,
Luhman2007_118,167.23317,-77.453682,ChaI,1.048E-02,7.499E-03,5.257E-03,2.859E-03,5.489E-04,9.475E-03,7.244E-03,1.267E-03,
Luhman2007_119,167.27136,-77.16613,ChaI,1.515E-02,1.084E-02,6.557E-03,3.839E-03,,1.424E-02,9.754E-03,2.008E-03,
Luhman2007_124,167.32373,-76.466064,ChaI,1.182E-01,7.499E-02,5.354E-02,3.05E-02,3.798E-03,1.193E-01,7.191E-02,1.337E-02,
Luhman2007_133,167.43857,-77.675903,ChaI,,,8.255E-03,4.702E-03,8.463E-04,1.538E-02,1.152E-02,2.684E-03,4.642E-03
Luhman2007_134,167.44255,-76.579552,ChaI,4.493E-02,4.864E-02,4.75E-02,5.974E-02,2.374E-01,4.753E-02,4.839E-02,1.033E-01,3.332E-01
Luhman2007_135,167.4476,-77.441406,ChaI,6.801E-02,7.162E-02,5.161E-02,4.833E-02,1.235E-01,5.688E-02,5.765E-02,3.905E-02,1.176E-01
Luhman2007_136,167.45493,-77.522141,ChaI,,,4.214E-03,,3.763E-04,9.007E-03,6.344E-03,1.768E-03,
Luhman2007_137,167.45847,-76.613243,ChaI,4.136E-01,2.723E-01,2.359E-01,,,,,,
Luhman2007_138,167.46732,-76.653557,ChaI,1.344E-02,1.377E-02,1.345E-02,1.407E-02,1.484E-02,1.292E-02,1.368E-02,1.448E-02,2.145E-02
Luhman2007_139,167.46927,-77.676353,ChaI,2.402E-03,2.931E-03,4.062E-03,6.141E-03,9.365E-03,2.003E-03,2.948E-03,6.492E-03,1.056E-02
Luhman2007_140,167.47238,-77.476822,ChaI,,,5.764E-03,,9.026E-03,6.312E-03,6.761E-03,6.24E-03,1.055E-02
Luhman2007_142,167.47531,-76.490364,ChaI,1.068E-01,9.978E-02,1.03E-01,1.203E-01,2.247E-01,1.122E-01,1.126E-01,1.138E-01,2.409E-01
Luhman2007_143,167.47658,-76.519821,ChaI,9.132E-03,1.303E-02,1.647E-02,2.149E-02,8.232E-02,6.877E-03,1.213E-02,2.739E-02,8.926E-02
Luhman2007_144,167.49474,-77.619133,ChaI,4.493E-01,4.519E-01,3.951E-01,4.02E-01,3.868E-01,3.994E-01,3.919E-01,3.436E-01,4.069E-01
Luhman2007_145,167.50044,-76.582748,ChaI,,,3.808E+00,3.567E+00,,3.53E+00,7.047E+00,4.459E+00,1.091E+01
Luhman2007_146,167.50801,-77.429207,ChaI,7.321E-03,5.742E-03,3.67E-03,2.11E-03,,6.597E-03,5.253E-03,1.09E-03,
Luhman2007_148,167.51955,-76.595909,ChaI,9.301E-02,7.781E-02,6.618E-02,6.198E-02,1.056E-01,8.398E-02,7.001E-02,6.31E-02,1.725E-01
Luhman2007_150,167.52936,-76.493805,ChaI,2.358E-01,2.183E-01,2.151E-01,2.656E-01,2.751E-01,2.244E-01,2.15E-01,2.448E-01,3.132E-01
Luhman2007_153,167.54758,-76.591469,ChaI,1.662E-01,1.718E-01,1.757E-01,2.189E-01,8.385E-01,1.819E-01,1.826E-01,2.684E-01,9.434E-01
Luhman2007_154,167.54807,-77.564499,ChaI,,,8.179E-03,,5.591E-04,1.737E-02,1.188E-02,2.489E-03,
Luhman2007_155,167.59277,-76.420502,ChaI,4.577E-03,3.214E-03,2.232E-03,1.214E-03,,4.193E-03,3.119E-03,5.2E-04,
AlvesdeOliveira2010_4,246.385070801,-24.5680770874,Oph,2.32E-03,1.75E-03,1.3E-03,,,,,,
Erickson2011_5,246.171020508,-24.2969017029,Oph,1.1E-01,6.54E-02,5.25E-02,3.21E-02,2.82E-03,1.167E-01,6.692E-02,4.07E-02,6.66E-02
Erickson2011_11,246.200119019,-24.6680965424,Oph,1.19E-02,7.57E-03,5.61E-03,3.45E-03,,,,,
Erickson2011_38,246.362030029,-24.3473415375,Oph,3.3E-02,2.03E-02,1.53E-02,8.89E-03,,3.619E-02,2.182E-02,2.858E-02,3.313E-01
Erickson2011_49,246.407897949,-24.7184886932,Oph,2.22E-02,1.43E-02,1.01E-02,6.7E-03,,2.426E-02,1.394E-02,1.343E-02,4.009E-02
Luhman2003_244,56.2672538757,32.0845489502,IC348,7.38E-04,7.16E-04,6.18E-04,8.03E-04,,6.757E-04,6.228E-04,3.729E-03,1.512E-02
Luhman2003_245,56.1901893616,32.1862831116,IC348,1.17E-03,8.25E-04,,,,,,,
Erickson2011_64,246.578216553,-24.1219577789,Oph,6.89E-02,4.69E-02,3.38E-02,2.03E-02,,7.207E-02,4.712E-02,2.253E-02,3.861E-02
Luhman2007_174,167.97501,-76.325317,ChaI,,4.955E-02,,1.872E-02,2.751E-03,7.281E-02,4.566E-02,8.954E-03,3.67E-03
Luhman2007_175,168.01202,-77.380104,ChaI,4.06E-03,2.851E-03,1.962E-03,1.087E-03,,4.167E-03,3.037E-03,8.341E-04,
